 2022-Jul-19 00:00,*, , 19 21 37.89, -37 36 56.4,
 2022-Jul-20 00:00,*, , 19 22 26.04, -37 28 28.1,
 2022-Jul-21 00:00,*, , 19 23 13.65, -37 19 14.1,
 2022-Jul-22 00:00,*, , 19 24 01.00, -37 09 13.4,
 2022-Jul-23 00:00,*, , 19 24 48.49, -36 58 24.7,
 2022-Jul-24 00:00,*, , 19 25 36.53, -36 46 47.0,
 2022-Jul-25 00:00,*,m, 19 26 25.62, -36 34 19.4,
 2022-Jul-26 00:00,*,m, 19 27 16.28, -36 21 01.2,
 2022-Jul-27 00:00,*,m, 19 28 09.04, -36 06 51.6,
 2022-Jul-28 00:00,*,m, 19 29 04.48, -35 51 50.3,
 2022-Jul-29 00:00,*,m, 19 30 03.14, -35 35 56.9,
 2022-Jul-30 00:00,*,m, 19 31 05.56, -35 19 11.2,
 2022-Jul-31 00:00,*,m, 19 32 12.27, -35 01 33.0,
 2022-Aug-01 00:00,*,m, 19 33 23.73, -34 43 02.5,
 2022-Aug-02 00:00,*,m, 19 34 40.37, -34 23 39.7,
 2022-Aug-03 00:00,*,m, 19 36 02.53, -34 03 24.7,
 2022-Aug-04 00:00,*,m, 19 37 30.47, -33 42 17.9,
 2022-Aug-05 00:00,*,m, 19 39 04.36, -33 20 19.3,
 2022-Aug-06 00:00,*,m, 19 40 44.25, -32 57 29.4,
 2022-Aug-07 00:00,*,m, 19 42 30.05, -32 33 48.3,
 2022-Aug-08 00:00,*,m, 19 44 21.57, -32 09 16.2,
 2022-Aug-09 00:00,*, , 19 46 18.46, -31 43 53.4,
 2022-Aug-10 00:00,*, , 19 48 20.27, -31 17 40.1,
 2022-Aug-11 00:00,*, , 19 50 26.47, -30 50 36.3,
 2022-Aug-12 00:00,*, , 19 52 36.51, -30 22 42.0,
 2022-Aug-13 00:00,*, , 19 54 49.87, -29 53 56.9,
 2022-Aug-14 00:00,*, , 19 57 06.12, -29 24 20.7,
 2022-Aug-15 00:00,*, , 19 59 24.97, -28 53 52.7,
 2022-Aug-16 00:00,*, , 20 01 46.27, -28 22 32.1,
 2022-Aug-17 00:00,*, , 20 04 09.98, -27 50 18.2,
 2022-Aug-18 00:00,*, , 20 06 36.22, -27 17 10.0,
 2022-Aug-19 00:00,*, , 20 09 05.15, -26 43 06.5,
 2022-Aug-20 00:00,*, , 20 11 37.04, -26 08 06.8,
 2022-Aug-21 00:00,*, , 20 14 12.20, -25 32 09.7,
 2022-Aug-22 00:00,*, , 20 16 50.98, -24 55 14.1,
 2022-Aug-23 00:00,*,m, 20 19 33.76, -24 17 19.1,
 2022-Aug-24 00:00,*,m, 20 22 20.96, -23 38 23.3,
 2022-Aug-25 00:00,*,m, 20 25 13.00, -22 58 25.4,
 2022-Aug-26 00:00,*,m, 20 28 10.33, -22 17 24.0,
 2022-Aug-27 00:00,*,m, 20 31 13.40, -21 35 17.6,
 2022-Aug-28 00:00,*,m, 20 34 22.67, -20 52 04.5,
 2022-Aug-29 00:00,*,m, 20 37 38.56, -20 07 42.6,
 2022-Aug-30 00:00,*,m, 20 41 01.49, -19 22 09.9,
 2022-Aug-31 00:00,*,m, 20 44 31.80, -18 35 24.4,
 2022-Sep-01 00:00,*,m, 20 48 09.80, -17 47 23.8,
 2022-Sep-02 00:00,*,m, 20 51 55.71, -16 58 05.8,
 2022-Sep-03 00:00,*,m, 20 55 49.65, -16 07 28.1,
 2022-Sep-04 00:00,*,m, 20 59 51.67, -15 15 28.8,
 2022-Sep-05 00:00,*,m, 21 04 01.70, -14 22 06.3,
 2022-Sep-06 00:00,*,m, 21 08 19.59, -13 27 19.2,
 2022-Sep-07 00:00,*, , 21 12 45.09, -12 31 07.0,
 2022-Sep-08 00:00,*, , 21 17 17.89, -11 33 29.8,
 2022-Sep-09 00:00,*, , 21 21 57.68, -10 34 28.4,
 2022-Sep-10 00:00,*, , 21 26 44.12, -09 34 04.5,
 2022-Sep-11 00:00,*, , 21 31 36.94, -08 32 20.6,
 2022-Sep-12 00:00,*, , 21 36 35.94, -07 29 19.8,
 2022-Sep-13 00:00,*, , 21 41 41.01, -06 25 05.8,
 2022-Sep-14 00:00,*, , 21 46 52.15, -05 19 42.5,
 2022-Sep-15 00:00,*, , 21 52 09.46, -04 13 14.7,
 2022-Sep-16 00:00,*, , 21 57 33.13, -03 05 47.0,
 2022-Sep-17 00:00,*, , 22 03 03.39, -01 57 24.7,
 2022-Sep-18 00:00,*, , 22 08 40.56, -00 48 13.5,
 2022-Sep-19 00:00,*, , 22 14 24.98, +00 21 40.6,
 2022-Sep-20 00:00,*, , 22 20 17.02, +01 32 11.2,
 2022-Sep-21 00:00,*, , 22 26 17.10, +02 43 11.4,
 2022-Sep-22 00:00,*,m, 22 32 25.64, +03 54 33.8,
 2022-Sep-23 00:00,*,m, 22 38 43.10, +05 06 10.9,
 2022-Sep-24 00:00,*,m, 22 45 09.94, +06 17 54.7,
 2022-Sep-25 00:00,*,m, 22 51 46.64, +07 29 37.1,
 2022-Sep-26 00:00,*,m, 22 58 33.69, +08 41 10.0,
 2022-Sep-27 00:00,*,m, 23 05 31.56, +09 52 25.1,
 2022-Sep-28 00:00,*,m, 23 12 40.66, +11 03 14.1,
 2022-Sep-29 00:00,*,m, 23 20 01.37, +12 13 28.5,
 2022-Sep-30 00:00,*,m, 23 27 33.96, +13 22 59.6,
 2022-Oct-01 00:00,*,m, 23 35 18.59, +14 31 38.4,
 2022-Oct-02 00:00,*,m, 23 43 15.29, +15 39 15.2,
 2022-Oct-03 00:00,*,m, 23 51 23.94, +16 45 40.0,
 2022-Oct-04 00:00,*,m, 23 59 44.25, +17 50 41.5,
 2022-Oct-05 00:00,*,m, 00 08 15.76, +18 54 08.0,
 2022-Oct-06 00:00,*,m, 00 16 57.84, +19 55 46.8,
 2022-Oct-07 00:00,*, , 00 25 49.72, +20 55 24.4,
 2022-Oct-08 00:00,*, , 00 34 50.47, +21 52 47.1,
 2022-Oct-09 00:00,*, , 00 43 59.05, +22 47 40.7,
 2022-Oct-10 00:00,*, , 00 53 14.33, +23 39 51.5,
 2022-Oct-11 00:00,*, , 01 02 35.11, +24 29 06.5,
 2022-Oct-12 00:00,*, , 01 12 00.14, +25 15 13.7,
 2022-Oct-13 00:00,*, , 01 21 28.11, +25 58 02.6,
 2022-Oct-14 00:00,*, , 01 30 57.70, +26 37 24.2,
 2022-Oct-15 00:00,*, , 01 40 27.53, +27 13 11.3,
 2022-Oct-16 00:00,*, , 01 49 56.24, +27 45 18.7,
 2022-Oct-17 00:00,*, , 01 59 22.44, +28 13 42.9,
 2022-Oct-18 00:00,*, , 02 08 44.77, +28 38 22.4,
 2022-Oct-19 00:00,*, , 02 18 01.90, +28 59 17.5,
 2022-Oct-20 00:00,*, , 02 27 12.58, +29 16 30.5,
 2022-Oct-21 00:00,*, , 02 36 15.61, +29 30 05.2,
 2022-Oct-22 00:00,*, , 02 45 09.92, +29 40 07.0,
 2022-Oct-23 00:00,*,m, 02 53 54.57, +29 46 43.0,
 2022-Oct-24 00:00,*,m, 03 02 28.77, +29 50 01.8,
 2022-Oct-25 00:00,*,m, 03 10 51.93, +29 50 13.1,
 2022-Oct-26 00:00,*,m, 03 19 03.62, +29 47 27.9,
 2022-Oct-27 00:00,*,m, 03 27 03.62, +29 41 58.3,
 2022-Oct-28 00:00,*,m, 03 34 51.86, +29 33 56.9,
 2022-Oct-29 00:00,*,m, 03 42 28.38, +29 23 36.4,
 2022-Oct-30 00:00,*,m, 03 49 53.34, +29 11 09.7,
 2022-Oct-31 00:00,*,m, 03 57 06.90, +28 56 49.0,
 2022-Nov-01 00:00,*,m, 04 04 09.27, +28 40 45.8,
 2022-Nov-02 00:00,*,m, 04 11 00.60, +28 23 10.6,
 2022-Nov-03 00:00,*,m, 04 17 41.00, +28 04 12.9,
 2022-Nov-04 00:00,*,m, 04 24 10.52, +27 44 01.1,
 2022-Nov-05 00:00,*,m, 04 30 29.18, +27 22 42.3,
 2022-Nov-06 00:00,*,m, 04 36 36.90, +27 00 23.0,
 2022-Nov-07 00:00,*, , 04 42 33.60, +26 37 08.8,
 2022-Nov-08 00:00,*, , 04 48 19.15, +26 13 04.5,
 2022-Nov-09 00:00,*, , 04 53 53.40, +25 48 14.7,
 2022-Nov-10 00:00,*, , 04 59 16.25, +25 22 43.3,
 2022-Nov-11 00:00,*, , 05 04 27.57, +24 56 34.5,
 2022-Nov-12 00:00,*, , 05 09 27.30, +24 29 51.9,
 2022-Nov-13 00:00,*, , 05 14 15.39, +24 02 39.2,
 2022-Nov-14 00:00,*, , 05 18 51.82, +23 35 00.3,
 2022-Nov-15 00:00,*, , 05 23 16.61, +23 06 58.7,
 2022-Nov-16 00:00,*, , 05 27 29.81, +22 38 38.2,
 2022-Nov-17 00:00,*, , 05 31 31.49, +22 10 02.4,
 2022-Nov-18 00:00,*, , 05 35 21.76, +21 41 15.2,
 2022-Nov-19 00:00,*, , 05 39 00.78, +21 12 20.6,
 2022-Nov-20 00:00,*, , 05 42 28.74, +20 43 22.4,
 2022-Nov-21 00:00,*, , 05 45 45.93, +20 14 25.0,
 2022-Nov-22 00:00,*, , 05 48 52.72, +19 45 32.6,
 2022-Nov-23 00:00,*,m, 05 51 49.58, +19 16 49.7,
 2022-Nov-24 00:00,*,m, 05 54 37.09, +18 48 20.7,
 2022-Nov-25 00:00,*,m, 05 57 15.97, +18 20 09.9,
 2022-Nov-26 00:00,*,m, 05 59 46.99, +17 52 21.3,
 2022-Nov-27 00:00,*,m, 06 02 10.97, +17 24 58.1,
 2022-Nov-28 00:00,*,m, 06 04 28.70, +16 58 03.2,
 2022-Nov-29 00:00,*,m, 06 06 40.91, +16 31 38.3,
 2022-Nov-30 00:00,*,m, 06 08 48.22, +16 05 44.8,
 2022-Dec-01 00:00,*,m, 06 10 51.13, +15 40 23.1,
 2022-Dec-02 00:00,*,m, 06 12 50.00, +15 15 33.4,
 2022-Dec-03 00:00,*,m, 06 14 45.09, +14 51 15.3,
 2022-Dec-04 00:00,*,m, 06 16 36.52, +14 27 28.3,
 2022-Dec-05 00:00,*,m, 06 18 24.34, +14 04 11.8,
 2022-Dec-06 00:00,*,m, 06 20 08.50, +13 41 25.2,
 2022-Dec-07 00:00,*,m, 06 21 48.92, +13 19 08.1,
 2022-Dec-08 00:00,*, , 06 23 25.44, +12 57 20.2,
 2022-Dec-09 00:00,*, , 06 24 57.93, +12 36 01.4,
 2022-Dec-10 00:00,*, , 06 26 26.20, +12 15 12.0,
 2022-Dec-11 00:00,*, , 06 27 50.09, +11 54 52.5,
 2022-Dec-12 00:00,*, , 06 29 09.45, +11 35 03.6,
 2022-Dec-13 00:00,*, , 06 30 24.15, +11 15 46.6,
 2022-Dec-14 00:00,*, , 06 31 34.06, +10 57 02.7,
 2022-Dec-15 00:00,*, , 06 32 39.12, +10 38 53.7,
 2022-Dec-16 00:00,*, , 06 33 39.28, +10 21 21.4,
 2022-Dec-17 00:00,*, , 06 34 34.53, +10 04 28.2,
 2022-Dec-18 00:00,*, , 06 35 24.95, +09 48 16.5,
 2022-Dec-19 00:00,*, , 06 36 10.68, +09 32 49.2,
 2022-Dec-20 00:00,*, , 06 36 51.94, +09 18 09.1,
 2022-Dec-21 00:00,*, , 06 37 29.08, +09 04 19.3,
