 2022-Jul-19 00:00,*, , 19 53 27.47, -21 01 01.8,
 2022-Jul-20 00:00,*, , 19 57 30.66, -20 49 50.3,
 2022-Jul-21 00:00,*, , 20 01 31.30, -20 38 21.6,
 2022-Jul-22 00:00,*, , 20 05 29.44, -20 26 37.1,
 2022-Jul-23 00:00,*, , 20 09 25.21, -20 14 37.6,
 2022-Jul-24 00:00,*, , 20 13 18.79, -20 02 24.0,
 2022-Jul-25 00:00,*,m, 20 17 10.39, -19 49 56.6,
 2022-Jul-26 00:00,*,m, 20 21 00.28, -19 37 15.7,
 2022-Jul-27 00:00,*,m, 20 24 48.74, -19 24 21.4,
 2022-Jul-28 00:00,*,m, 20 28 36.09, -19 11 13.3,
 2022-Jul-29 00:00,*,m, 20 32 22.66, -18 57 51.0,
 2022-Jul-30 00:00,*,m, 20 36 08.79, -18 44 13.6,
 2022-Jul-31 00:00,*,m, 20 39 54.83, -18 30 20.1,
 2022-Aug-01 00:00,*,m, 20 43 41.11, -18 16 09.4,
 2022-Aug-02 00:00,*,m, 20 47 27.95, -18 01 40.1,
 2022-Aug-03 00:00,*,m, 20 51 15.65, -17 46 50.6,
 2022-Aug-04 00:00,*,m, 20 55 04.44, -17 31 39.7,
 2022-Aug-05 00:00,*,m, 20 58 54.50, -17 16 05.7,
 2022-Aug-06 00:00,*,m, 21 02 45.97, -17 00 07.4,
 2022-Aug-07 00:00,*,m, 21 06 38.85, -16 43 43.8,
 2022-Aug-08 00:00,*,m, 21 10 33.06, -16 26 54.3,
 2022-Aug-09 00:00,*, , 21 14 28.41, -16 09 38.9,
 2022-Aug-10 00:00,*, , 21 18 24.55, -15 51 58.4,
 2022-Aug-11 00:00,*, , 21 22 21.08, -15 33 54.1,
 2022-Aug-12 00:00,*, , 21 26 17.48, -15 15 28.3,
 2022-Aug-13 00:00,*, , 21 30 13.24, -14 56 43.7,
 2022-Aug-14 00:00,*, , 21 34 07.85, -14 37 43.2,
 2022-Aug-15 00:00,*, , 21 38 00.89, -14 18 29.9,
 2022-Aug-16 00:00,*, , 21 41 52.05, -13 59 06.4,
 2022-Aug-17 00:00,*, , 21 45 41.10, -13 39 35.4,
 2022-Aug-18 00:00,*, , 21 49 27.92, -13 19 58.6,
 2022-Aug-19 00:00,*, , 21 53 12.48, -13 00 17.9,
 2022-Aug-20 00:00,*, , 21 56 54.81, -12 40 34.2,
 2022-Aug-21 00:00,*, , 22 00 35.01, -12 20 48.6,
 2022-Aug-22 00:00,*, , 22 04 13.20, -12 01 01.3,
 2022-Aug-23 00:00,*,m, 22 07 49.58, -11 41 12.5,
 2022-Aug-24 00:00,*,m, 22 11 24.35, -11 21 22.1,
 2022-Aug-25 00:00,*,m, 22 14 57.77, -11 01 29.4,
 2022-Aug-26 00:00,*,m, 22 18 30.12, -10 41 33.6,
 2022-Aug-27 00:00,*,m, 22 22 01.71, -10 21 33.5,
 2022-Aug-28 00:00,*,m, 22 25 32.89, -10 01 27.4,
